Id,Oznaczenie,Obudowa,Ilość,Oznaczenie,Dostawca i numer artykułu
1,SW1,PTS636 SM25F SMTR LFS,1,RST,PTS636 SMG25J SMTR LFS 
2,"J11,J7",PinSocket_1x32_P2.54mm_Vertical,2,Conn_01x32_Male,61303211121 
3,U2,TQFP-64_10x10mm_P0.5mm,1,ATSAME51J18A-A,ATSAME51J18A-AUT 
4,J9,GCT_USB4105_REVA,1,USB4105_REVA,12401598E4#2A 
5,J3,JST_SM04B-SRSS-TB(LF)(SN),1,QWIIC,SM04B-SRSS-TB(LF)(SN) 
6,"R24,R23,R22,R21,R20,R5,R19,R18,R17,R6,R4,R3",R_0402_1005Metric,12,10k,RMCF0402JT10K0 
7,D9,LED_0402_1005Metric,1,CHRG,APHHS1005CGCK 
8,Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.768,ECS-.327-12.5-12-TR 
9,D8,LED_0402_1005Metric,1,PWR,APHHS1005CGCK 
10,J10,JST_SM04B-SRSS-TB(LF)(SN),1,CAN,SM04B-SRSS-TB(LF)(SN) 
11,U8,Texas_S-PDSO-N12,1,BQ27441DRZR-G1B,BQ27441DRZR-G1B 
12,U7,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24074RGT,BQ24074RGTT 
13,U6,SC630AULTRT,1,SC630AULTRT,TPS60501DGSR 
14,U5,LM2775QDSGTQ1,1,LM2775QDSGTQ1,MP9361DJ-LF-P
15,U4,WSON-12-1EP_3x2mm_P0.5mm_EP1x2.65_ThermalVias,1,LM27762,LM27762DSST 
16,U3,MSOP-8_3x3mm_P0.65mm,1,MIC5219-5.0YMM,MIC5219-5.0YMM 
17,U1,TCAN1051GVDRQ1,1,TCAN1051GVDRQ1,TCAN1051HVD 
18,R16,R_0402_1005Metric,1,0.01,PE0402FRF070R01L 
19,"R15,R14,R2,R1",R_0402_1005Metric,4,5.1k,RC0402FR-075K1L 
20,R13,R_0402_1005Metric,1,1.13k,RC0402FR-071K13L 
21,R12,R_0402_1005Metric,1,1.18k,RC0402FR-071K18L 
22,R11,R_0402_1005Metric,1,46.4k,RK73H1ETTP4642F 
23,"R10,R9",R_0402_1005Metric,2,50k,RC1005F4992CS 
24,"R8,R7",R_0402_1005Metric,2,87.5k,RC0402FR-0786K6L 
26,J2,JST_S2B-ZR-SM4A-TF(LF)(SN),1,BAT,S2B-PH-K-S(LF)(SN) 
27,J1,microSD_HC_Hirose_DM3D-SF,1,Micro_SD_Card,5031821852 
28,D7,LED_0402_1005Metric,1,LED,APHHS1005CGCK 
29,"D6,D5,D4,D3,D2",D_0402_1005Metric,5,D_Schottky,VSKY05301006-G4-08 
30,D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,COM-16347 
31,"C24,C9,C8",C_0402_1005Metric,3,0.47u,GMC04X5R474K16NT 
32,"C23,C22,C20,C19,C13,C11",C_0402_1005Metric,6,4.7u,C1005X5R0J475M050BC 
33,"C21,C17,C16,C15,C12",C_0402_1005Metric,5,2.2u,C1005X7S1A225K050BC 
34,"C18,C10",C_0402_1005Metric,2,10u,CL05A106MQ5NUNC 
35,"C14,C6,C5",C_0402_1005Metric,3,1u,CC0402KRX5R5BB105 
36,C7,C_0402_1005Metric,1,500n,GRM155R61A564KE15D 
37,"C4,C3",C_0402_1005Metric,2,22u,CL05A226MQ6ZUN8 
38,"C2,C1",C_0402_1005Metric,2,100n,GRM155R71C104KA88J 
